time,ee_x,ee_y,ee_z,chassis_x,chassis_y,chassis_yaw
8.056940793991089,0.12276361351824755,0.10914993979109436,1.0899260231618029,0.0,0.0,0.0
8.153628587722778,0.12272135767243272,0.10914728119152109,1.089936633353569,0.0,0.0,0.0
8.212463855743408,0.12270450636615896,0.10914140720885107,1.089941121319701,1.4630862221900288e-08,1.3823071653251893e-08,-2.4746028324610303e-22
8.302546262741089,0.12269926151441311,0.10913453730104263,1.0899427618727358,3.2394524764887944e-08,4.0524704437234846e-08,1.2900425579211956e-19
8.345437288284302,0.12269893353614214,0.1091275877700084,1.089943158515411,5.259174621392565e-08,6.604730824481711e-08,8.031683894234853e-20
8.397342920303345,0.12270083416255952,0.10912088414789621,1.0899430018116987,7.478574229278223e-08,9.046574693488913e-08,1.2421181661239766e-19
8.426859140396118,0.12270338057680805,0.10911455665766348,1.089942653743126,9.713501300852304e-08,1.1507347961806185e-07,1.1732266391548654e-19
8.48166298866272,0.12270605670928451,0.10910863953288384,1.0899422387513122,1.2082493710449285e-07,1.3876423569255665e-07,7.473427047765735e-20
8.50011134147644,0.1227091016982785,0.1091031317215987,1.0899417416082677,1.4552527620661854e-07,1.6162390019332323e-07,1.7487177732087104e-19
8.526971101760864,0.12271385586726824,0.1090978611474115,1.0899408198811957,1.6925448355780732e-07,1.849958123438682e-07,2.7664661709923573e-19
8.545043468475342,0.12272037216470327,0.10909276830009644,1.0899394540767176,1.9353635391478317e-07,2.0781605744595454e-07,3.204404047732513e-19
8.575302362442017,0.12272676958267148,0.1090879235215046,1.0899380965704926,2.182228045135664e-07,2.3022199431286466e-07,2.9127480137121244e-19
8.59765625,0.12272838347395508,0.10908473925086302,1.089938482273997,2.431407908977137e-07,2.51953577349849e-07,2.8187827095853857e-19
8.6036958694458,0.12272914455684959,0.10908216450406824,1.089939419893377,2.608246787129426e-07,2.181410776876232e-07,3.236457683953906e-19
8.609372854232788,0.12269925964643494,0.10907863291233068,1.0899459685455484,2.702388521856698e-07,1.915715481451335e-07,2.74165417503617e-19
8.63757038116455,0.12264552681185441,0.10907387512693342,1.0899570792175497,3.953121246832622e-07,1.1666127952530557e-07,1.4399006223398606e-19
